內文,內文_清理後,內文_斷詞後,手動標註
把要修的民法搬到專法裡，再依據差異性做修改，我是覺,把要修的民法搬到專法裡，再依據差異性做修改，我是覺,把要修的民法搬到專法裡，再依據差異性做修改，是覺,0
專法很難嗎 拿德國的伴侶法改一改就有啦 修啥民法,專法很難嗎拿德國的伴侶法改一改就有啦修啥民法,專法很難嗎拿德國的伴侶法改一改就有啦修民法,0
得不會比修民法困難啦,得不會比修民法困難啦,得不會比修民法困難啦,0
民法修正案已經有尤美女的版本出來的，只要舉手投票就可以,民法修正案已經有尤美女的版本出來的，只要舉手投票就可以,民法修正案已經有尤美女的版本出來的，只要舉手投票就可以,0
是啊 投票就可以 但是反對的多 不會過,是啊投票就可以但是反對的多不會過,是啊投票就可以但是反對的多不會過,0
專法沒有任何版本出來，你他媽的，誰要寫專法？你要寫嗎？,專法沒有任何版本出來，你他媽的，誰要寫專法？你要寫嗎？,專法沒有任何版本出來，他媽的，要寫專法？要寫嗎？,0
他媽的專法死甲自己不搞，難道要給護家盟擬嗎?,他媽的專法死甲自己不搞，難道要給護家盟擬嗎,他媽的專法死甲不搞，難道要給護家盟擬嗎,0
那些立委不會寫哦？ 選他們出來做什麼用的,那些立委不會寫哦？選他們出來做什麼用的,那些立委不會寫哦？選出來做用的,0
主張同志婚姻合法的立委就寫好民法修正案了啊，不然你要怎樣,主張同志婚姻合法的立委就寫好民法修正案了啊，不然你要怎樣,主張同志婚姻合法的立委就寫好民法修正案了啊，不然要怎樣,0
修法立法都是立委的職責 不用你擔心 只看要用哪種就好,修法立法都是立委的職責不用你擔心只看要用哪種就好,修法立法都是立委的職責不用擔心只看要用種就好,0
要搞修民法，我看再遊行個20年看有沒有機會,要搞修民法，我看再遊行個20年看有沒有機會,要搞修民法，看再遊行個20年看有沒有機會,0
何況這是蔡英文選前的承諾，你民進黨已經過半了，甚至國民黨,何況這是蔡英文選前的承諾，你民進黨已經過半了，甚至國民黨,何況是蔡英文選前的承諾，民進黨已經過半了，甚至國民黨,0
修民法現在擺明沒幾個人挺，甲甲要堅持就去堅持阿,修民法現在擺明沒幾個人挺，甲甲要堅持就去堅持阿,修民法現在擺明沒幾個人挺，甲甲要堅持就去堅持阿,0
你不要忽略婚姻組成的差異，我指生理上的。,你不要忽略婚姻組成的差異，我指生理上的。,不要忽略婚姻組成的差異，指生理上的。,0
也好幾個支持修民法，還不能過？那蔡英文就要負責了,也好幾個支持修民法，還不能過？那蔡英文就要負責了,也好幾個支持修民法，還不能過？那蔡英文就要負責了,0
蔡英文也說落實周休二日阿，900萬勞工和3%同，自己想,蔡英文也說落實周休二日阿，900萬勞工和3同，自己想,蔡英文也說落實周休二日阿，900萬勞工和3同，想,0
蔡英文選前有說要修民法嗎 不要偷換概念 專法也是法,蔡英文選前有說要修民法嗎不要偷換概念專法也是法,蔡英文選前有說要修民法嗎不要偷換概念專法也是法,0
其實我私心希望民進黨自我否定、封殺修法，讓這件事繼續鬧下,其實我私心希望民進黨自我否定、封殺修法，讓這件事繼續鬧下,其實私心希望民進黨否定、封殺修法，讓件事繼續鬧下,0
尤美女的版本就直接變成專法不行嗎?,尤美女的版本就直接變成專法不行嗎,尤美女的版本就直接變成專法不行嗎,0
要讓民進黨倒，就是要他們不斷自爆，累積更多負面形象,要讓民進黨倒，就是要他們不斷自爆，累積更多負面形象,要讓民進黨倒，就是要不斷自爆，累積更多負面形象,0
所以，大家放心，民進黨如果封殺修法，那也絕對不會提專法的,所以，大家放心，民進黨如果封殺修法，那也絕對不會提專法的,所以，放心，民進黨如果封殺修法，也絕對不會提專法的,0
這件事會一直鬧下去,這件事會一直鬧下去,件事會一直鬧下去,0
加油 你可以組個同志黨 看會不會拿到多數修民法,加油你可以組個同志黨看會不會拿到多數修民法,加油可以組個同志黨看會不會拿到多數修民法,0
死甲能不能結婚乾多數選民屁事阿>?,死甲能不能結婚乾多數選民屁事阿,死甲能不能結婚乾多數選民屁事阿,0
不要擔心，政治正確還是有一定影響力的。看執政黨最終,不要擔心，政治正確還是有一定影響力的。看執政黨最終,不要擔心，政治正確還是有一定影響力的。看執政黨最終,0
如果只是同志的事，那就不會有這麼多版面,如果只是同志的事，那就不會有這麼多版面,如果只是同志的事，就不會有這麼多版面,0
考量的是什麼就曉得了,考量的是什麼就曉得了,考量的是就曉得了,0
婚姻平權現階段只走到媒體版面的政治正確 別傻盼望了,婚姻平權現階段只走到媒體版面的政治正確別傻盼望了,婚姻平權現階段只走到媒體版面的政治正確別傻盼望了,0
這件事已經超出同志的範疇了，難道蔡依林、張惠妹…是同志？,這件事已經超出同志的範疇了，難道蔡依林、張惠妹是同志？,件事已經超出同志的範疇了，難道蔡依林、張惠妹是同志？,0
有人支持就有人反對 難道你把反對的都打入護家盟？,有人支持就有人反對難道你把反對的都打入護家盟？,有人支持就有人反對難道把反對的都打入護家盟？,0
希拉蕊媒體版面一面倒，現實也是一面倒,希拉蕊媒體版面一面倒，現實也是一面倒,希拉蕊媒體版面一面倒，現實也是一面倒,0
台灣社會有一大堆異性戀挺這件事，所以版面才會這麼大,台灣社會有一大堆異性戀挺這件事，所以版面才會這麼大,台灣社會有一大堆異性戀挺件事，所以版面才會這麼大,0
同志族群只是想要享有身為台灣人的基本權利，沒有這麼偉,同志族群只是想要享有身為台灣人的基本權利，沒有這麼偉,同志族群只是想要享有身為台灣人的基本權利，沒有這麼偉,0
大，真的不需要特別立專法,大，真的不需要特別立專法,大，真的不需要特別立專法,0
立專法不表示偉大，你是不是誤會什麼了,立專法不表示偉大，你是不是誤會什麼了,立專法不表示偉大，是不是誤會了,0
不會 沒你的分,不會沒你的分,不會沒的分,0
台女會森77,台女會森77,台女會森77,0
你跟他有什麼不一樣,你跟他有什麼不一樣,跟有不一樣,0
別傻了 肥宅還是肥宅,別傻了肥宅還是肥宅,別傻了肥宅還是肥宅,0
ㄈㄈ尺會跟你拼命,尺會跟你拼命,尺會跟拼命,0
首先你不敢，還有臺灣人也不敢，你看那個保全被罵多慘，,首先你不敢，還有臺灣人也不敢，你看那個保全被罵多慘，,首先不敢，還有臺灣人也不敢，看個保全被罵多慘，,0
台女真心換白人優越的絕情,台女真心換白人優越的絕情,台女真心換白人優越的絕情,0
帶風向還當真XDD,帶風向還當真XDD,帶風向還當真XDD,0
別人個性白爛 你也跟著白爛??,別人個性白爛你也跟著白爛,個性白爛也跟著白爛,0
臺灣人個性比較隨和  以怨報德,臺灣人個性比較隨和以怨報德,臺灣人個性比較隨和以怨報德,0
他們沒搶 你工作好嗎！你教英文嗎？,他們沒搶你工作好嗎！你教英文嗎？,沒搶工作好嗎！教英文嗎？,0
那你不要開上馬路,那你不要開上馬路,那不要開上馬路,0
台灣人鑽車縫技術世界第一,台灣人鑽車縫技術世界第一,台灣人鑽車縫技術世界第一,0
是很會鑽 但不到世界第一,是很會鑽但不到世界第一,是很會鑽但不到世界第一,0
這是台南人的熱情,這是台南人的熱情,是台南人的熱情,0
簽名檔XD,簽名檔XD,簽名檔XD,0
小妹彈出來了,小妹彈出來了,小妹彈出來了,0
最多就大概會以妨礙風化罪被警察抓走吧,最多就大概會以妨礙風化罪被警察抓走吧,最多就大概會以妨礙風化罪被警察抓走吧,0
南西 偶愛你,南西偶愛你,南西偶愛,0
考完了啦 ㄏㄏ,考完了啦,考完了啦,0
沒奶就別嚇人,沒奶就別嚇人,沒奶就別嚇人,0
祝福妳87分不能再高了,祝福妳87分不能再高了,祝福87分不能再高了,0
1下就及格,1下就及格,1下就及格,0
0.87下,087下,087下,0
半下 然後送醫 到這裡是SOP,半下然後送醫到這裡是SOP,半下然後送醫到這裡是SOP,0
肚子碰到大腿就算一下,肚子碰到大腿就算一下,肚子碰到大腿就算一下,0
改以滾動代替,改以滾動代替,改以滾動代替,0
我都幫女同學測坐姿體前彎,我都幫女同學測坐姿體前彎,都幫女同學測坐姿體前彎,0
跟她說幹你他媽的不要以為我不知道你有跟別人出門,跟她說幹你他媽的不要以為我不知道你有跟別人出門,跟說幹他媽的不要以為不知道有跟出門,0
複製貼上了...  認真回離開那地方,複製貼上了認真回離開那地方,複製貼上了認真回離開地方,0
你應該放東京熱跟他拼才對,你應該放東京熱跟他拼才對,應該放東京熱跟拼才對,0
那是老闆特地為了合你的品味才特別放的 還不跪謝,那是老闆特地為了合你的品味才特別放的還不跪謝,是老闆特地為了合的品味才特別放的還不跪謝,0
中國台北屏東區,中國台北屏東區,中國台北屏東區,0
鄉下GPS不是很準,鄉下GPS不是很準,鄉下GPS不是很準,0
那是有山豬駕照的認證啦,那是有山豬駕照的認證啦,是有山豬駕照的認證啦,0
不是每個屏東人都有  你要先拿到山豬駕照之後 寄信去跟,不是每個屏東人都有你要先拿到山豬駕照之後寄信去跟,不是每個屏東人都有要先拿到山豬駕照之後寄信去跟,0
fb申請登記帳號才跑得出那個東西,fb申請登記帳號才跑得出那個東西,fb申請登記帳號才跑得出個東西,0
只要騎在山豬上打卡都會有,只要騎在山豬上打卡都會有,只要騎在山豬上打卡都會有,0
跟苗栗併列台灣最落後的地方,跟苗栗併列台灣最落後的地方,跟苗栗併列台灣最落後的地方,0
別儍了，一樣沒用,別儍了，一樣沒用,別儍了，一樣沒用,0
有差嗎 總統視察 個個一個打十個,有差嗎總統視察個個一個打十個,有差嗎總統視察個個一個打十個,0
重裝備一旦登陸就GG了,重裝備一旦登陸就GG了,重裝備一旦登陸就GG了,0
就軍力平衡傾斜了呀,就軍力平衡傾斜了呀,就軍力平衡傾斜了呀,0
美日奪島演練是演假的嗎？,美日奪島演練是演假的嗎？,美日奪島演練是演假的嗎？,0
這時候沖繩基地就很重要了阿,這時候沖繩基地就很重要了阿,時候沖繩基地就很重要了阿,0
基本上就給中國上岸 然後一人發一把槍圍毆對手就好,基本上就給中國上岸然後一人發一把槍圍毆對手就好,基本上就給中國上岸然後一人發一把槍圍毆對手就好,0
就和沖繩登陸戰日軍的防禦戰略差不多,就和沖繩登陸戰日軍的防禦戰略差不多,就和沖繩登陸戰日軍的防禦戰略差不多,0
美日台三方要在短時間內準備好軍備計劃反攻,美日台三方要在短時間內準備好軍備計劃反攻,美日台三方要在短時間內準備好軍備計劃反攻,0
2千萬打你幾百萬錯錯有餘,2千萬打你幾百萬錯錯有餘,2千萬打幾百萬錯錯有餘,0
先把台奸拖出來槍斃,先把台奸拖出來槍斃,先把台奸拖出來槍斃,0
一上陸，台獨辜家立馬又變節迎王師,一上陸，台獨辜家立馬又變節迎王師,一上陸，台獨辜家立馬又變節迎王師,0
國軍一開戰直接倒戈投降的比例不知道多少,國軍一開戰直接倒戈投降的比例不知道多少,國軍一開戰直接倒戈投降的比例不知道多少,0
因為開戰人家就把你雷達和機場港口給炸了 怎麼決戰境外,因為開戰人家就把你雷達和機場港口給炸了怎麼決戰境外,因為開戰就把雷達和機場港口給炸了怎麼決戰境外,0
一開戰先把叫唆戰爭的台獨替代役打死,一開戰先把叫唆戰爭的台獨替代役打死,一開戰先把叫唆戰爭的台獨替代役打死,0
要是不投降 那殘餘戰力和灘頭殲滅會是重點,要是不投降那殘餘戰力和灘頭殲滅會是重點,要是不投降殘餘戰力和灘頭殲滅會是重點,0
出張嘴不上戰場的最該死,出張嘴不上戰場的最該死,出張嘴不上戰場的最該死,0
一想到光復大陸後教育要重整就很不方便,一想到光復大陸後教育要重整就很不方便,一想到光復大陸後教育要重整就很不方便,0
早年驍勇的台灣兵早被外省敗兵洗腦到不戰就降的地步了,早年驍勇的台灣兵早被外省敗兵洗腦到不戰就降的地步了,早年驍勇的台灣兵早被外省敗兵洗腦到不戰就降的地步了,0
一人發一把槍我第一個先射老闆,一人發一把槍我第一個先射老闆,一人發一把槍第一個先射老闆,0
就是一群外省孬將領導，台灣軍怎麼會強,就是一群外省孬將領導，台灣軍怎麼會強,就是一群外省孬將領導，台灣軍怎麼會強,0
清光外省孬將，全換台灣將領戰力陡升,清光外省孬將，全換台灣將領戰力陡升,清光外省孬將，全換台灣將領戰力陡升,0
是換成 奶昔哥 非凡兄。還是肥迪 國昌 當將領,是換成奶昔哥非凡兄。還是肥迪國昌當將領,是換成奶昔哥非凡兄。還是肥迪國昌當將領,0
防衛固守，有效喝阻！在能登陸的海邊放阿帕奇64，反裝甲,防衛固守，有效喝阻！在能登陸的海邊放阿帕奇64，反裝甲,防衛固守，有效喝阻！在能登陸的海邊放阿帕奇64，反裝甲,0
其實打對岸基地才是有效的,其實打對岸基地才是有效的,其實打對岸基地才是有效的,0
飛彈，有搶灘登陸的裝甲就…,飛彈，有搶灘登陸的裝甲就,飛彈，有搶灘登陸的裝甲就,0
全島都是水泥建築，比史達林格勒城市戰還致命！！,全島都是水泥建築，比史達林格勒城市戰還致命！！,全島都是水泥建築，比史達林格勒城市戰還致命！！,0
台灣人強者多，就是外省黃埔孬將卡著茅坑不拉屎，廢物又不,台灣人強者多，就是外省黃埔孬將卡著茅坑不拉屎，廢物又不,台灣人強者多，就是外省黃埔孬將卡著茅坑不拉屎，廢物又不,0
閃一邊去。怕打仗就快退伍，別妨礙台灣將領晉升,閃一邊去。怕打仗就快退伍，別妨礙台灣將領晉升,閃一邊去。怕打仗就快退伍，別妨礙台灣將領晉升,0
先處理掉叛將,先處理掉叛將,先處理掉叛將,0
最近鋼鐵英雄演的就是雙方陸戰只能說開戰人性才會顯露,最近鋼鐵英雄演的就是雙方陸戰只能說開戰人性才會顯露,最近鋼鐵英雄演的就是陸戰只能說開戰人性才會顯露,0
你有關於台灣將領省籍的數據嗎？,你有關於台灣將領省籍的數據嗎？,有關於台灣將領省籍的數據嗎？,0
正常啊 我們才幾艘船怎麼跟人家海戰,正常啊我們才幾艘船怎麼跟人家海戰,正常啊才幾艘船怎麼跟海戰,0
除非有AT立場，不然沒機會,除非有AT立場，不然沒機會,除非有AT立場，不然沒機會,0
很久以前了,很久以前了,很久以前了,0
郝龍斌也去演了啊,郝龍斌也去演了啊,郝龍斌也去演了啊,0
廠廠廠廠廠,廠廠廠廠廠,廠廠廠廠廠,0
非市長期間真的那麼閒嗎？左邊那位,非市長期間真的那麼閒嗎？左邊那位,非市長期間真的那麼閒嗎？左邊位,0
看他打球時的頭髮就知道惹 跟581一樣有戲,看他打球時的頭髮就知道惹跟581一樣有戲,看打球時的頭髮就知道惹跟581一樣有戲,0
"認識黑人就會如此,還懷疑",認識黑人就會如此還懷疑,認識黑人就會如此還懷疑,0
電業法比一例一休更重要 甲甲可以滾嗎,電業法比一例一休更重要甲甲可以滾嗎,電業法比一例一休更重要甲甲可以滾嗎,0
台灣同志比中國多 羨慕,台灣同志比中國多羨慕,台灣同志比中國多羨慕,0
電業啊 勞檢笑話 核食啊 連釋昭慧都能白 核食立委也可以,電業啊勞檢笑話核食啊連釋昭慧都能白核食立委也可以,電業啊勞檢笑話核食啊連釋昭慧都能白核食立委也可以,0
一例一休跟7天假的新聞被洗掉了 資進黨表示欣慰,一例一休跟7天假的新聞被洗掉了資進黨表示欣慰,一例一休跟7天假的新聞被洗掉了資進黨表示欣慰,0
掩蓋七天假 詐騙黨又贏了,掩蓋七天假詐騙黨又贏了,掩蓋七天假詐騙黨又贏了,0
啊你們上街啊?沒人喔，慘,啊你們上街啊沒人喔，慘,啊上街啊沒人喔，慘,0
七天假早就砍了 還在崩潰？,七天假早就砍了還在崩潰？,七天假早就砍了還在崩潰？,0
dpp就是想看到這種局面阿,dpp就是想看到這種局面阿,dpp就是想看到種局面阿,0
林全恢復 立院砍掉,林全恢復立院砍掉,林全恢復立院砍掉,0
中1000萬的幾張都在我手上~之後在跟你說,中1000萬的幾張都在我手上之後在跟你說,中1000萬的幾張都在手上之後在跟說,0
你到底在公三小 這篇誰看的懂 我當誰性奴,你到底在公三小這篇誰看的懂我當誰性奴,到底在公三小篇看的懂當性奴,0
9 10月的還沒開啦 好像下午1:30左右 再等一下,910月的還沒開啦好像下午130左右再等一下,910月的還沒開啦好像下午130左右再等一下,0
中1000w先拿10w狂喝茶吃魚,中1000w先拿10w狂喝茶吃魚,中1000w先拿10w狂喝茶吃魚,0
你的國文是體育老師教的逆?,你的國文是體育老師教的逆,的國文是體育老師教的逆,0
投資真正的目的不是賺錢 而是保本。,投資真正的目的不是賺錢而是保本。,投資真正的目的不是賺錢而是保本。,0
跟你說得都是不會賺的,跟你說得都是不會賺的,跟說得都是不會賺的,0
真正會賺誰想讓你知道,真正會賺誰想讓你知道,真正會賺想讓知道,0
你所謂的大錢大概是資產利得翻個三四倍,你所謂的大錢大概是資產利得翻個三四倍,所謂的大錢大概是資產利得翻個三四倍,0
不然怎麼讓你自己騎山豬到三重,不然怎麼讓你自己騎山豬到三重,不然怎麼讓騎山豬到三重,0
你知道賺錢需要多少錢嗎,你知道賺錢需要多少錢嗎,知道賺錢需要多少錢嗎,0
但不好意思，那種的幾乎分析不出來,但不好意思，那種的幾乎分析不出來,但不好意思，種的幾乎分析不出來,0
真的耶 我就是啊 前陣子投資賠了百來萬 還好沒傷到本~~,真的耶我就是啊前陣子投資賠了百來萬還好沒傷到本,真的耶就是啊前陣子投資賠了百來萬還好沒傷到本,0
最好每個人都有富爸爸給你一千幾百萬美金 我也希望有,最好每個人都有富爸爸給你一千幾百萬美金我也希望有,最好每個人都有富爸爸給一千幾百萬美金也希望有,0
公豬公豬夜裡哭哭,公豬公豬夜裡哭哭,公豬公豬夜裡哭哭,0
很好  女生屁股有線的概念嘛,很好女生屁股有線的概念嘛,很好女生屁股有線的概念嘛,0
蘇美動態：尋找熱點分享ing,蘇美動態：尋找熱點分享ing,蘇美動態：尋找熱點分享ing,0
沒網路怎麼傳？,沒網路怎麼傳？,沒網路怎麼傳？,0
我的先借你頂著尻,我的先借你頂著尻,的先借頂著尻,0
說不定是互相毀滅保證 阿蘇手上握有奶照,說不定是互相毀滅保證阿蘇手上握有奶照,說不定是互相毀滅保證阿蘇手上握有奶照,0
幹你媽的自動開圖,幹你媽的自動開圖,幹你媽的自動開圖,0
幹你娘恐怖連結幹,幹你娘恐怖連結幹,幹你娘恐怖連結幹,0
幹我恨自動開圖,幹我恨自動開圖,幹恨自動開圖,0
幹恐怖圖片,幹恐怖圖片,幹恐怖圖片,0
讓這篇爆，不能只有我看到,讓這篇爆，不能只有我看到,讓篇爆，不能只有看到,0
幹恐怖圖片,幹恐怖圖片,幹恐怖圖片,0
米分米分女乃豆頁,米分米分女乃豆頁,米分米分女乃豆頁,0
亮亮不是說他是M?,亮亮不是說他是M,亮亮不是說是M,0
應該是  蘇蘇亮亮亮酥酥,應該是蘇蘇亮亮亮酥酥,應該是蘇蘇亮亮亮酥酥,0
不是跟苗博雅嗎???,不是跟苗博雅嗎,不是跟苗博雅嗎,0
早分出勝負了,早分出勝負了,早分出勝負了,0
想看亮X苗,想看亮X苗,想看亮X苗,0
苗X亮+1,苗X亮1,苗X亮1,0
M?????????? 害我心跳少了一拍,M害我心跳少了一拍,M害心跳少了一拍,0
既生蘇 何生亮,既生蘇何生亮,既生蘇何生亮,0
深山沒其他人設三小密碼,深山沒其他人設三小密碼,深山沒其他人設三小密碼,0
超級想吐槽的,超級想吐槽的,超級想吐槽的,0
確定是在深山?,確定是在深山,確定是在深山,0
怎麼確定蘇美不會跑去雪山偷用人家Wifi,怎麼確定蘇美不會跑去雪山偷用人家Wifi,怎麼確定蘇美不會跑去雪山偷用Wifi,0
怎麼會沒其他人？,怎麼會沒其他人？,怎麼會沒其他人？,0
要先辦吃到飽，才能吃到飽,要先辦吃到飽，才能吃到飽,要先辦吃到飽，才能吃到飽,0
去國外要用網卡，不然漫遊很貴,去國外要用網卡，不然漫遊很貴,去國外要用網卡，不然漫遊很貴,0
山豬會偷用啊,山豬會偷用啊,山豬會偷用啊,0
應該是從後面狗幹吧 這樣奶子才會晃啊晃的,應該是從後面狗幹吧這樣奶子才會晃啊晃的,應該是從後面狗幹吧這樣奶子才會晃啊晃的,0
要先辦吃到飽，才能吃到飽,要先辦吃到飽，才能吃到飽,要先辦吃到飽，才能吃到飽,0
托比昂：有建設才有破壞,托比昂：有建設才有破壞,托比昂：有建設才有破壞,0
公豬公豬夜裡哭哭,公豬公豬夜裡哭哭,公豬公豬夜裡哭哭,0
又不衝突 妹妹文也可以照發啊,又不衝突妹妹文也可以照發啊,又不衝突妹妹文也可以照發啊,0
話說輔大事件是不是和平落幕了？,話說輔大事件是不是和平落幕了？,話說輔大事件是不是和平落幕了？,0
輔大事件大概要等判決出來了吧,輔大事件大概要等判決出來了吧,輔大事件大概要等判決出來了吧,0
到時校方搓一搓就好了,到時校方搓一搓就好了,到時校方搓一搓就好了,0
簽名欓Get,簽名欓Get,簽名欓Get,0
男女就是最多八卦阿,男女就是最多八卦阿,男女就是最多八卦阿,0
不要偷告白,不要偷告白,不要偷告白,0
好啊　　妹妹文萬歲,好啊妹妹文萬歲,好啊妹妹文萬歲,0
"等下苗婦不打母_教改打妹妹文,然後那些腦補仇女標籤往你",等下苗婦不打母教改打妹妹文然後那些腦補仇女標籤往你,等下苗婦不打母教改打妹妹文然後那些腦補仇女標籤往,0
身上貼你就知死,身上貼你就知死,身上貼就知死,0
豬圈板你敢嘴？,豬圈板你敢嘴？,豬圈板敢嘴？,0
感謝簽名檔,感謝簽名檔,感謝簽名檔,0
這倒是挺意外的，變成男女八卦板了，還是八卦,這倒是挺意外的，變成男女八卦板了，還是八卦,倒是挺意外的，變成男女八卦板了，還是八卦,0
油水不夠 抓抓抓抓,油水不夠抓抓抓抓,油水不夠抓抓抓抓,0
這個問題 你要去問分局以上那些警官 很黑的,這個問題你要去問分局以上那些警官很黑的,個問題要去問分局以上那些警官很黑的,0
抓沒繳保護費der，懂?,抓沒繳保護費der，懂,抓沒繳保護費der，懂,0
因為。      績效,因為。績效,因為。績效,0
抓個體戶阿撈油水阿 看是要用錢還是身體來付,抓個體戶阿撈油水阿看是要用錢還是身體來付,抓個體戶阿撈油水阿看是要用錢還是身體來付,0
一般在派出所就和士兵被指揮一樣 官說什麼就做什麼,一般在派出所就和士兵被指揮一樣官說什麼就做什麼,一般在派出所就和士兵被指揮一樣官說就做,0
想幹免費的阿 懂嗎 = =,想幹免費的阿懂嗎,想幹免費的阿懂嗎,0
性交易罰錢了事，被抓的比較不會動刀動槍的^_^,性交易罰錢了事，被抓的比較不會動刀動槍的,性交易罰錢了事，被抓的比較不會動刀動槍的,0
怕電信公司收不到新客戶,怕電信公司收不到新客戶,怕電信公司收不到新客戶,0
他嗎的沒繳飼料費當然要抓啊，當台灣沒有王法了是不是？,他嗎的沒繳飼料費當然要抓啊，當台灣沒有王法了是不是？,嗎的沒繳飼料費當然要抓啊，當台灣沒有王法了是不是？,0
警察有分工的 又不是所有警察都是重案組,警察有分工的又不是所有警察都是重案組,警察有分工的又不是所有警察都是重案組,0
有交通的當然也抓黃的 什麼都有,有交通的當然也抓黃的什麼都有,有交通的當然也抓黃的都有,0
不然哩 你以為警察應該都做怎樣?,不然哩你以為警察應該都做怎樣,不然哩以為警察應該都做怎樣,0
順便看妹啊,順便看妹啊,順便看妹啊,0
你要警察不抓這種要去找立委 市長 設置性專區,你要警察不抓這種要去找立委市長設置性專區,要警察不抓種要去找立委市長設置性專區,0
"性交易全面合法化,警察搞不好還高興不用抓了",性交易全面合法化警察搞不好還高興不用抓了,性交易全面合法化警察搞不好還高興不用抓了,0
因為正在動，沒斬草除根怎麼敢說?,因為正在動，沒斬草除根怎麼敢說,因為正在動，沒斬草除根怎麼敢說,0
警察的專業就是抓援交,警察的專業就是抓援交,警察的專業就是抓援交,0
不給錢 就搗蛋 懂？,不給錢就搗蛋懂？,不給錢就搗蛋懂？,0
有  很臭,有很臭,有很臭,0
有一種蟑味,有一種蟑味,有一種蟑味,0
以前養過蜘蛛，給蜘蛛餵蟑螂，蟑螂真的超臭......,以前養過蜘蛛，給蜘蛛餵蟑螂，蟑螂真的超臭,以前養過蜘蛛，給蜘蛛餵蟑螂，蟑螂真的超臭,0
粉紅色的味道,粉紅色的味道,粉紅色的味道,0
有啊 有的洗衣粉會洗出蟑螂味,有啊有的洗衣粉會洗出蟑螂味,有啊有的洗衣粉會洗出蟑螂味,0
有，很重的味道,有，很重的味道,有，很重的味道,0
有一種油臭味  很明顯,有一種油臭味很明顯,有一種油臭味很明顯,0
一堆時會味道，有些小吃攤很明顯。,一堆時會味道，有些小吃攤很明顯。,一堆時會味道，有些小吃攤很明顯。,0
一堆時會有味道，有些小吃攤很明顯。,一堆時會有味道，有些小吃攤很明顯。,一堆時會有味道，有些小吃攤很明顯。,0
台北車站噴街一堆這種味道,台北車站噴街一堆這種味道,台北車站噴街一堆種味道,0
有一種費洛蒙的味道,有一種費洛蒙的味道,有一種費洛蒙的味道,0
柬埔寨人很愛吃,柬埔寨人很愛吃,柬埔寨人很愛吃,0
你可以抓一隻放在鼻孔上就知道了,你可以抓一隻放在鼻孔上就知道了,可以抓一隻放在鼻孔上就知道了,0
是啊，所以咧？,是啊，所以咧？,是啊，所以咧？,0
只要你的電腦跑得動實況上傳 你就是實況主,只要你的電腦跑得動實況上傳你就是實況主,只要的電腦跑得動實況上傳就是實況主,0
Youtube也可以開直播啊O.O,Youtube也可以開直播啊OO,Youtube也可以開直播啊OO,0
可以直播錄影完再上傳youtube,可以直播錄影完再上傳youtube,可以直播錄影完再上傳youtube,0
水管主比較好賺 嘻,水管主比較好賺嘻,水管主比較好賺嘻,0
賺的多的好像靠水管居多,賺的多的好像靠水管居多,賺的多的好像靠水管居多,0
看主攻實況還是上傳影片啊 但也不少混著做的,看主攻實況還是上傳影片啊但也不少混著做的,看主攻實況還是上傳影片啊但也不少混著做的,0
被關在金字塔後，就會轉職成Youtuber了，還我安寶寶,被關在金字塔後，就會轉職成Youtuber了，還我安寶寶,被關在金字塔後，就會轉職成Youtuber了，還安寶寶,0
你自問自答很爽？,你自問自答很爽？,自問自答很爽？,0
youtuber十間比較free 實況主每天都要固定上線,youtuber十間比較free實況主每天都要固定上線,youtuber十間比較free實況主每天都要固定上線,0
實況賺抖內，youtuber再賺一次流量,實況賺抖內，youtuber再賺一次流量,實況賺抖內，youtuber再賺一次流量,0
台灣實況要做起來很困難，反觀水管入門比較容易,台灣實況要做起來很困難，反觀水管入門比較容易,台灣實況要做起來很困難，反觀水管入門比較容易,0
也許人家直播是在Twitch 錄的就放YouTube,也許人家直播是在Twitch錄的就放YouTube,也許直播是在Twitch錄的就放YouTube,0
DELAY LIVE臭了嘛,DELAYLIVE臭了嘛,DELAYLIVE臭了嘛,0
幹你的Twitch 還我Reall1992,幹你的Twitch還我Reall1992,幹的Twitch還Reall1992,0
後製和直播，最直覺的差別,後製和直播，最直覺的差別,後製和直播，最直覺的差別,0
實況主像打卡上班,實況主像打卡上班,實況主像打卡上班,0
管他多肥 台化滾出去就對了,管他多肥台化滾出去就對了,管多肥台化滾出去就對了,0
繼續蓋房子啦！到時候怎麼死的都不知道,繼續蓋房子啦！到時候怎麼死的都不知道,繼續蓋房子啦！到時候怎麼死的都不知道,0
市中心那麼大的污染源工廠 老早該滾了,市中心那麼大的污染源工廠老早該滾了,市中心那麼大的污染源工廠老早該滾了,0
聽說中捷要拉到彰化,聽說中捷要拉到彰化,聽說中捷要拉到彰化,0
蓋社會住宅 一小片商業區 其他蓋公園,蓋社會住宅一小片商業區其他蓋公園,蓋社會住宅一小片商業區其他蓋公園,0
那你搬去大竹吸個夠,那你搬去大竹吸個夠,那搬去大竹吸個夠,0
難怪縣長死都要吞這塊地,難怪縣長死都要吞這塊地,難怪縣長死都要吞塊地,0
和美人口早就第三了吧,和美人口早就第三了吧,和美人口早就第三了吧,0
烏日都發展不起來了，員林比較適合吧!!,烏日都發展不起來了，員林比較適合吧,烏日都發展不起來了，員林比較適合吧,0
